,essay,emotion
106,Just wow! Look what’s happening in https://t.co/ieQRU7Wg7j,surprise
107,that free kick from 🐐 unbelievable club goal for him n what a goal https://t.co/5pbG9ZZx1G,surprise
108,Playing against Barcelona in the semi final of the Champions League is the kind of game that fans like us live for. And it’s great to go there with the belief that we have what it takes to get something out of the game. Good times.,fear
109,"No one will. There's too much coming in the slushpile for publishers to slink around stealing ideas. A first time author would be lucky to get read &amp; noticed, and the publisher (if the work is good) will be quick to snap her up before anyone else does. https://t.co/ajozu85zAW",disgust
110,"Best summary I've read so far. Curious how little this story has been picked up. Worrying how and co. are all flocking to seemingly uncritically as though she is an individual and not a spokesperson of a much bigger, financed agenda https://t.co/k961oBg99m",neutral
111,"If you have tears... Moving and some hope amongst the embers: Images That Could Help Rebuild Notre-Dame Cathedral And the young, brilliant professor who made them before he died. https://t.co/m0bpdzVNov",neutral
112,If you thought the Battle of Winterfell was intense - just wait until everyone realizes there is a necklace laying in the snow somewhere which will keep you young and beautiful for centuries. https://t.co/Sl04bFoVWd,neutral
113,https://t.co/SqUwNI8Cth Somebody got me in a bong tonight 🤔#DayTripper Yea! Great Video! USER USER_2 USER USER_shrew60 USER USER USER_CURLEY The boys were still having fun then..#GoLiverpoolvsBarcelona 2Day,neutral
114,it pains me to see such a beautiful monument eaten by fire. https://t.co/KcQmXLD0UX,sadness
115,Happy Wednesday folks! 😁 Hoping for a Messi masterclass later. 🤞#BARLIV,joy
116,10 Interesting About the Notre Dame Cathedral in Paris You Need to Know https://t.co/pEZKaD2UGV https://t.co/t1PmWBbq4i,neutral
117,"I swear to god.. just because y'all enjoy every bullshit this show has been giving us the last seasons doesn't mean everyone needs to have the same opinion.. The visuals where nice , the music is always fucking awesome.. but with the rest.. just fuck off... https://t.co/gxgup0k8I7",anger
118,me (after a day and a half of religiously checking live updates of the explaining every intricacy of the fire to my long-suffering friends https://t.co/SwTtvUULd6,neutral
119,📚 One of our favorite days of the week is here! Happy to all our bookworms! -- Our offices from all over the world are wishing you a day full of reading and storytelling. https://t.co/jyjFz9pDSv,joy
120,"Amazing. The CO2 in the smoke sedated the 180,000 bees in the roof 💙🌍💚 https://t.co/lzB608we9D",joy
121,Lets go USER. We take matter in our own hands. This is the moment we have been fighting for. Lets make it happen.,joy
122,Liverpool is playing like Barcelona.,neutral
123,The God of Football giving his blessings to Klopp and his side at the Temple of Football 🤭 https://t.co/Ktg0DSvMiW,joy
124,"Excavations for one wind turbine, massive hole dug, to be filled with concrete and steel. Crazy that we think we can save the planet by doing this. https://t.co/YUFQUqbmwG",disgust
125,The worst attacks against the press by USER pale in comparison to this. https://t.co/F07fI23Zxq,neutral
126,USER Funny how you're suddenly on message after protests and public popularity of and election time.,neutral
127,"The Notre Dame is one of my bucketlist.. just too sad, hope it’ll recover the time when I get there... its the most holy week and this happens.. Prayers to the firefighters.. ☹️☹️",sadness
128,Remember the last time USER was helping run the economy? https://t.co/wERBnSBGF5,neutral
129,It took two books to change me from a person who struggled to see anything positive to the complete opposite. Books have immense power!,joy
130,I am with people of I hope you exceed the dictator,neutral
131,Topics: 1) 2) Rise in Who or what is causing 3) Terrorist plot uncovered in CA &amp; Tenn. school https://t.co/ecqlLyrsmF,fear
132,Has USER tweeted that he can build Notre Dame better and cheaper yet?,neutral
133,Secure your freedom and do it now.,fear
134,"USER seriously, this can’t be happening on a night?? Get your technicians out, it’s a National Emergency!",fear
135,"Epic battle breathtaking, Arya is awesome! 👍",joy
136,USER One of the worst scene in the history of -#GameofThrones,neutral
137,Do you agree with USER striker USER ? https://t.co/DG4d61eptY,neutral
138,"School strike for climate - save the world by changing the rules | Greta... https://t.co/QbfVQ6eEEv via USER 15 year old leader crushing it , non violent arya",neutral
139,"Can someone please reassure me that people DO understand that it is perfectly acceptable to value welfare, ecology AND cultural heritage &amp; that being in support of one, doesn't have to come at the detriment of another?",surprise
140,I'm sure would love to bring the trophy back to Nou Camp. But talk is cheap. It's coming to the trophy cabinet. Come on We will exploit their ropey defense,joy
141,"Can people please not post clips of on their instagram stories? I don't give a shit if it's not a ""spoiler"". I don't want to see anything until I've watched it.",anger
142,My kids have just told me that they want me to donate their lunch money to Notre Dame. So proud.,joy
143,USER Interfering in the internal affairs of sovereign moving embassy to recognising heights as territories of pulling out from nuclear deal are the most dangerous &amp; illegal foreign policies u have made so far.,anger
144,Why the avoidance?? Fox News stars pull plug on history of church attacks - WND https://t.co/gCrV23i1g7 via USER,anger
145,"| Spanish Socialist Worker's Party are the major winners of the 2019 elections yet falling far from a majority, political alliances will mark the road ahead for months in order to form a government. https://t.co/yLYIwgHTtY",joy
146,Far right in a country that still hosts this pervert Franco memorial? Cannot be.,disgust
147,"We all have special corner at home, where we relish reading. '#RT’ if you agree! https://t.co/0erA1YOBZt",joy
148,"The socialist government of is murdering its own people, and USER's three most recent tweets on her page are (in order): - climate change - green new deal - gardening",neutral
149,I have some hopefully-not-too-controversial thoughts on the Notre Dame Cathedral Fire. And an answer for the negative comments about why I published a video on another topic first. + A tarot reading! https://t.co/hDsfJbzhsl,neutral
150,"First in the net! Exciting gameplay, one touch passing end to end, exciting. Goal!! https://t.co/EsWuJGDXcF",joy
151,Friendlier than a friend. Always keep a book for company..for they never betray https://t.co/t4i2y22S3w,joy
152,"No matter what happens tonight, so so proud of our Liverpool team USER USER_ynwa USER USER_BeBe30 USER USER USER USER USER USER USER USER USER",joy
153,".USER here’s the ORIGINAL video. As you can see from the ORIGINAL, the respondents are CLEARLY REACTING TO THE Here’s a screenshot of the ‘smiley face’ responses on the original video. https://t.co/3gUGupnyAu",neutral
154,"I really think America is next if we lose your 2nd amendment. Don't fix what's not so broken, I say.",neutral
155,"🏆 Congratulations to USER for title, as well as to Ernesto Valverde and his technical team 👏👏 https://t.co/LTevdnf6wK",neutral
156,It's vs. today in the finals! Who's going to win? https://t.co/dDoyBmVHcJ,neutral
157,Who is the 'best bet' to score first in Barcelona tonight?,neutral
158,"""Solar and wind have benefitted not suffered from cheap natural gas."" Ban coal/gas and solar/wind dies. solar&amp;wind = 'decorative facades' to keep the expansion of gas(fracking) industry over carbon-free nuclear https://t.co/o7KyZCO5vP",anger
159,USER Look. The people of DID take to the streets. They REJECT &amp; your coup attempt https://t.co/47ZlHbjmSA,joy
160,Happy Spread love. Create awareness. Dispell ignorance. Read. Learn. Educate. https://t.co/yWOJE1rVi7,neutral
161,"You know the country is doomed when both sides of the same corrupted political elite are openly engaged in another illegal regime change operation. It's even more disturbing to see some people still thinking that all this is for ""freedom &amp; democracy"" https://t.co/rVBdPSfKGc",disgust
162,"USER starting rumors, spreading hate &amp; fear against a religion based on nothing!",anger
163,Hey Liverpudlian is it necessary to play the 2nd leg ??,neutral
164,"Of course, then they cut off USER forever and not pursue any deal, which is what USER want. And you can bet USER are active in and will aid any US backed coup for this reason USER https://t.co/aFrarfJ6Hm",neutral
165,Me at the end of the episode 3 realizing I have no one to share it with https://t.co/tvJbw5RSF2,sadness
166,That was just beautiful soccer.,joy
167,USER USER A US backed coup.......what could go wrong??,anger
168,"The economy, one of the euro zone's star performers, took a back seat in campaigning across the political parties.",neutral
169,Celebrating by taking advantage of the nine free books Amazon is giving out via Amazon Kindle. I can't wait to discover new authors from around the world and expand my horizons (literally)!,joy
170,Twitter is the gift that keeps on giving. The imagination here is sensational https://t.co/rNiz4sbhHB,joy
171,"Let us promise ourselves to inculcate the habit of reading books in our children because it is one way to shape their future in the best way possible…. With lots of love, from Team Happy https://t.co/Sb3W6BlERe https://t.co/BXqly731k8",joy
172,Thinking spring on this beautiful https://t.co/j9FAFHQM5t,joy
173,"A brief glimmer of hope in the world, the main three 13-century stained glass windows may have survived: ""All three appear to have been saved. Culture Minister Franck Riester said that the three windows do not appear to have suffered catastrophic damage."" https://t.co/dRuAONJ4zK",joy
174,"mentor seeks refuge in Chile’s embassy, development could point to the failure of a coup attempt - https://t.co/IoIeQPMs7J",neutral
175,May Allah make it easy on us this month. https://t.co/vnyhLNM772,neutral
176,"THIS IS TRUTH!!!!!!!!! I remember FREE, THRIVING, VIBRANT - the RICHEST country on the CONTINENT!!! https://t.co/E3MvN2y6i2",neutral
177,"Can we please give a massive shout out to Ramin Djawadi, because HAVE YOU HEARD THE MUSIC IN THAT EPISODE I MEAN..?! https://t.co/lurvpbDZ1C",joy
178,Messi and Free Kick. Still an amazing love story than Twilight ❤️,joy
179,BANG ON TREND - so glad to hear the main structure INCLUDING the famous stained glass window has been saved. A massive well done to the French fire brigade! 👏🙏🙌#bangingtrend,joy
180,"Check out the 23 books picked by USER &amp; USER staff in honor of written by the forcibly displaced. ""The sheer breadth of literary work shows how much refugees have given and continue to give to their communities and the world– including their stories."" https://t.co/sT3y4m1heD",neutral
181,I’m laughing at the conflicting messages from Christians re: That “what do we say to the god of death?” line got some preachers fired up. “Not today!” But other preachers don’t want us watching.,neutral
182,So beautiful. From despair comes hope 😔🙏🏽 https://t.co/gYNEpc72hf,joy
183,Military members loyal to the people of Venezuela are arresting the corrupt Maduro loyalists. https://t.co/Pbvw0ayjwy,disgust
184,On this today is v v v Message me now to sign up and enjoy https://t.co/8mOGxUBEWN,neutral
185,"They actually dont need to do much to kill cersei, they can just send Arya to sneak up on her and slit her throat",neutral
186,“He GoT lUcKy In tHe FiRsT GoAl”,surprise
187,I’m surprised isn’t pushing for intervention in it can’t be good for her agenda,surprise
188,Freebies! Must be a catch... with FREE Kindle books in translation from Amazon Crossing. https://t.co/QOOkGfgAtY via USER,joy
189,"Remember When they dig through the ruins of they will find stuff that survived &amp; say ""God saved it"" No He did not. will not save a physical relic (which violates Scripture to even have) over helping humans. https://t.co/knt4LLo0mB",neutral
190,"Greta, the 16 year old climate activist, says that all she wants is for adults to behave like adults, and to act on the terrifying information that is all around us. ⁦USER⁩ https://t.co/X823ONovSC",neutral
191,A lot of people seem to want a Plaque in Notre Dame with their name on it. Be better to build some new homes for people in need IMO https://t.co/XTEhLUttGX,disgust
192,"PAYMENT AFTER WINNING games are available, if you can stake high DM now!!!",joy
193,"I am so shocked! Totally unimaginable that these trucks are driven by human beings By Venezuelans against other Venezuelans! Like I just can't wrap my head around it! Why do soldiers go this far? To what extent is their liability? Can ""I was following orders"" suffice? https://t.co/rNVsgQxxQg",neutral
194,"Clearly, some people did something. Those people need to be arrested and prosecuted to the fullest extent of the law. Sadly, those people should never have been in France in the first place😡#NotreDameCathedralFire https://t.co/qQS7tzJCUw",sadness
195,it’s not where there was human tragedy and establishment negligence,neutral
196,"In honor of the , top moment from . USER USER_113 USER USER USER USER_Ferb USER USER",neutral
197,"I know it’s been over 24 hours and for some reason that means it’s time for the media to move on, but just to remind you: An 800 year old building that was a huge beacon of hope for so many people just burned down. https://t.co/71YH1mjuWq",sadness
198,"Wow, work and the man himself, that many people may not have realised or knew of, may now be the basis of which they can rebuild the Cathedral! https://t.co/dhrl2deY4u",disgust
199,USER USER Maduro Military are using vehicles to run over protestors: absolute abuse &amp; violation of Human Rights . USER USER,anger
200,After this game i don't want to hear that van dijk is the best defender in the world.#vandijk USER USER USER USER,neutral
201,Do NOT believe the French government. Chief architect on emphatically states this was NOT an accident. Which of course means we are getting ever so much closer to Muslim terrorism. Only a fool would think otherwise. https://t.co/a8MIYdBQNG,neutral
202,"There’s a strength in numbers . A group of Military and National police in favor to the People , https://t.co/0vWaKaHs2u",neutral
203,USER @_NairFYI Hmm...we all know that...what we would like to know is will USER bite a capsule or relinquish post easily? Will he go quietly or have to be forced?,neutral
204,Tragic. This is the inevitable route of socialism. https://t.co/zjV3foQRGd,neutral
205,Are you worried that working out could cause more knee damage or other joints pain? Get relief now with the best pain management in NYC. Visit: https://t.co/54GbxhdG0S https://t.co/P4fMh3Q8Ux,fear
206,Still lots of football action for the rest of the week ⚽️⚽️⚽️ Join us for great food &amp; drinks https://t.co/pdbTtPW7J5,neutral
207,"Watching last night, both parents call, text, and leave voicemails for SO and me. Us: Everything ok? Did someone die?! Them: WE DON'T KNOW YET BECAUSE WE FORGOT YOUR USER LOGIN!!",neutral
208,Today is find the time to enjoy a new book or enjoy rereading an old favorite book. Take the time to get lost in a good book! ✌❤📚 https://t.co/l4SFvcVJAB,joy
209,Holy Shit Balls. What an episode that was. I can't describe what I have just experienced. Without doubt the greatest episode of a TV show ever.,joy
210,What an occasion. USER at Barca for a semi final... can we go 1 better? I hope so...,neutral
211,The best book to read on 📕 https://t.co/eHHJjQLTqb,joy
212,I'm done opening twitter before seeing GoT episode. I've seen only a fucking sentence and I spoiled myself with that sentence a whole fucking episode.,anger
213,“My eyes hunger to read more books then time allows me to devour.” ― Jazz Feylynn Happy to everyone who reads and loves to read. There's no better love than the love of reading.,joy
214,"""At age 16, Greta Thunberg is a world-famous climate activist. She spoke to us about her fight to stop the climate crisis"" 🙂🌍🌹 https://t.co/KWFl7jLYaX https://t.co/KWFl7jLYaX",joy
215,Top Tip Convince people you are Bran from Game Of Thrones by Tipexing your Eyeballs and sitting under a tree whilst wearing your Nans coat.,neutral
216,"yeah, my tweet wondering what USER would say about the was meant to be sarcastic. I think she took it too literal y'all. https://t.co/RzmJUqs1Hs",surprise
217,If you haven’t watched the latest episode don’t expect me not to spoil it for you. It’s not my fault your priorities aren’t in the right order.,neutral
218,keeps you healthier Clean &amp; Safe Hand Sanitizer https://t.co/ON5oFvoFkg 190 ml Handsanitizer pump https://t.co/xvvkcli7dj https://t.co/Umh2AsxDtc,neutral
219,"USER 16 year old Swede has more brains, heart &amp; courage. Then 90% of America's Combined! https://t.co/nSYugvsVJl",joy
220,"If USER says what’s happening in “isn’t a coup”, then, SURE AS SHIT, BLOTUS USER can’t call warranted, legal investigations an “attempted coup”. USER USER",anger
221,"USER are you just pretending that you don't know the truth about this woman is talking utter shite! is NOT ""loved by the poor"" That interview was a complete piece of complicit by Shame on the",disgust
222,Mane is such a bitch!!! Liverpool are such cry babies!!! USER,anger
223,NEW: “This is clearly not a coup. We recognize Juan as the legitimate interim-president of White House national security adviser https://t.co/uZMQ0JEQUp https://t.co/AhtVR9qLKk,neutral
224,USER Yes for all I care wins so it benefits the dutch football in general but within the competition they can perform very bad for all I care haha,neutral
225,By tomorrow a billion dollars will be raised for this symbol of historic Catholic Church institutionalized and sanctioned sexual abuse. Why can’t the same be done for all the world’s real problems? https://t.co/CIGddd6ZKq,anger
226,High key excited we didnt have to see Hodor wash or get washed by anyone. That would've put me over the top.,neutral
227,".USER tells CNN that was ready to leave this morning, there was a plane waiting on the tarmac, but talked him out of it",neutral
228,.#Auspol From the Never interested in is what he means https://t.co/AcRUi15rGc,neutral
229,Once you learn to read you will forever be free. Let your imagination take you places. Happy,joy
230,The uprising in is failing https://t.co/7P5Y8yZA9s,fear
231,Looks like USER are free to focus on the Premier League title now,neutral
232,"The historically black churches in St. Landry Parish, LA were burned in a series of suspected hate crimes. A GoFundMe campaign for the churches began trending after the Over $530,000 raised 👏🏿 https://t.co/IUoMKJw5yF",joy
233,"Having no data on my phone yesterday meant I didn’t hear about the until this morning. Such a sad thing, but the musician in me is happy that the organ remains intact",sadness
234,Happy World Book Day 🎶Madu USER On ✌️💃🕴️#CelebrityTwosday with USER 💅X USER 👟,joy
235,You were a structure unlike any other and the world is poorer for your lose https://t.co/juPweRxdFB,sadness
236,Holy Shit! Lionel Messi is GOD 🐐 special special special Goal,joy
237,Bollywood Celebrities React to the Loss of the Historic Paris Landmark https://t.co/oiHNfldB0U,sadness
